"module name","license","repository"
"detective-vue2@2.2.0","MIT","https://github.com/dependents/detective-vue2"
"dompurify@3.2.6","(MPL-2.0 OR Apache-2.0)","https://github.com/cure53/DOMPurify"
"dotenv@16.5.0","BSD-2-Clause","https://github.com/motdotla/dotenv"
"env-cmd@10.1.0","MIT","https://github.com/toddbluhm/env-cmd"
"eslint-formatter-gitlab@6.0.0","MIT","git+https://gitlab.com/remcohaszing/eslint-formatter-gitlab"
"eslint-plugin-nuxt@4.0.0","MIT","https://github.com/nuxt/eslint-plugin-nuxt"
"eslint-plugin-tailwindcss@3.18.0","MIT","https://github.com/francoismassart/eslint-plugin-tailwindcss"
"eslint-plugin-unimport@0.1.2","MIT","https://github.com/antfu/eslint-plugin-unimport"
"eslint-plugin-vue@9.33.0","MIT","https://github.com/vuejs/eslint-plugin-vue"
"eslint-plugin-vuejs-accessibility@2.4.1","MIT","https://github.com/vue-a11y/eslint-plugin-vuejs-accessibility"
"eslint-processor-vue-blocks@2.0.0","MIT","https://github.com/antfu/eslint-processor-vue-blocks"
"eslint@9.27.0","MIT","https://github.com/eslint/eslint"
"fishery@2.3.1","MIT","https://github.com/thoughtbot/fishery"
"focus-trap@7.6.5","MIT","https://github.com/focus-trap/focus-trap"
"global@4.4.0","MIT","https://github.com/Raynos/global"
"happy-dom@17.5.6","MIT","https://github.com/capricorn86/happy-dom"
"jiti@2.4.2","MIT","https://github.com/unjs/jiti"
"knitwork@1.2.0","MIT","https://github.com/unjs/knitwork"
"license-checker@25.0.1","BSD-3-Clause","https://github.com/davglass/license-checker"
"lint-staged@16.1.0","MIT","https://github.com/lint-staged/lint-staged"
"maska@3.1.1","MIT","https://github.com/beholdr/maska"
"nanoid@5.1.5","MIT","https://github.com/ai/nanoid"
"nuxi@3.25.1","MIT","https://github.com/nuxt/cli"
"nuxt-svgo@4.2.1","MIT","https://github.com/cpsoinos/nuxt-svgo"
"nuxt-swiper@1.2.2","MIT","https://github.com/cpreston321/nuxt-swiper"
"nuxt@3.16.2","MIT","https://github.com/nuxt/nuxt"
"ofetch@1.4.1","MIT","https://github.com/unjs/ofetch"
"pathe@2.0.3","MIT","https://github.com/unjs/pathe"
"postcss-custom-properties@14.0.5","MIT","https://github.com/csstools/postcss-plugins"
"postcss-html@1.8.0","MIT","https://github.com/ota-meshi/postcss-html"
"postcss-import@16.1.0","MIT","https://github.com/postcss/postcss-import"
"postcss@8.5.4","MIT","https://github.com/postcss/postcss"
"prettier@3.0.3","MIT","https://github.com/prettier/prettier"
"schema-dts@1.1.5","Apache-2.0","https://github.com/google/schema-dts"
"storyblok-generate-ts@2.2.0","ISC","https://github.com/dohomi/storyblok-generate-ts"
"storyblok-js-client@7.0.0","MIT","https://github.com/storyblok/storyblok-js-client"
"storyblok@3.36.1","MIT","https://github.com/storyblok/storyblok-cli"
"swiper@11.2.8","MIT","https://github.com/nolimits4web/Swiper"
"tabbable@6.2.0","MIT","https://github.com/focus-trap/tabbable"
"tailwindcss@3.4.17","MIT","https://github.com/tailwindlabs/tailwindcss"
"typescript@5.8.3","Apache-2.0","https://github.com/microsoft/TypeScript"
"ufo@1.6.1","MIT","https://github.com/unjs/ufo"
